5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,0,19,0,19,19,19,19,19,0,19,19,19,19,19,0,19,19,19,19,19,0,19,0,5
5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5
5,0,19,0,19,19,19,0,19,19,19,19,0,19,19,19,19,0,19,19,19,0,19,0,5
5,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,5
5,0,0,0,19,0,19,19,0,19,0,19,19,19,0,19,0,19,19,0,19,0,0,0,5
5,0,19,0,19,0,19,19,0,19,0,0,0,0,0,19,0,19,19,0,19,0,19,0,5
5,0,0,0,0,0,19,19,0,19,7,0,19,0,7,19,0,19,19,0,0,0,0,0,5
5,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,5
5,0,19,0,19,19,19,0,19,19,19,19,0,19,19,19,19,0,19,19,19,0,19,0,5
5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5
5,0,19,0,19,19,19,19,19,0,19,19,19,19,19,0,19,19,19,19,19,0,19,0,5
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
